# "Frame" "ClusterAnalysis.cluster_count" "ClusterAnalysis.largest_size" "WignerSeitz.interstitial_count" "WignerSeitz.vacancy_count" "DislocationAnalysis.cell_volume" "DislocationAnalysis.counts.BCC" "DislocationAnalysis.counts.CubicDiamond" "DislocationAnalysis.counts.FCC" "DislocationAnalysis.counts.HCP" "DislocationAnalysis.counts.HexagonalDiamond" "DislocationAnalysis.counts.OTHER"
1 0 0 0 0 2031713.6674996172 128000 0 0 0 0 0 
3 87 8 165 165 2036237.7438420297 122974 0 0 0 0 5026 
5 122 10 267 267 2039356.695638074 120080 0 0 0 0 7920 
7 152 18 337 337 2041934.2817444352 118565 0 0 0 0 9435 
9 124 28 336 336 2043139.21136549 118771 0 0 0 0 9229 
11 121 28 338 338 2043856.831119935 119086 0 0 0 0 8914 
13 116 24 337 337 2045101.1267951918 118883 0 0 0 0 9117 
15 114 24 353 353 2045953.9905950995 118813 0 0 0 0 9187 
17 107 32 341 341 2046280.8968610496 119071 0 0 0 0 8929 
19 94 46 348 348 2046984.856767041 119378 0 0 0 0 8622 
21 97 50 334 334 2046901.2241406008 119747 0 0 0 0 8253 
23 89 80 358 358 2047373.0088418643 119887 0 0 0 0 8113 
25 88 92 449 449 2049051.6365556964 118721 0 0 0 0 9279 
27 95 132 413 413 2049125.9125652001 118816 0 0 0 0 9184 
29 81 150 434 434 2049835.3332070678 118442 0 0 0 0 9558 
31 89 122 386 386 2049002.2005584708 119152 0 0 0 0 8848 
33 85 108 351 351 2048305.6712233296 119999 0 0 0 0 8001 
35 81 118 386 386 2049155.5036972188 119432 0 0 0 0 8568 
37 86 142 412 412 2049750.77366447 119120 0 0 0 0 8880 
39 81 144 402 402 2049911.2072446474 119540 0 0 0 0 8460 
41 82 132 426 426 2050585.654144766 119167 0 0 0 0 8833 
43 79 148 452 452 2050694.805161471 118807 0 0 0 0 9193 
45 79 158 481 481 2051282.6692807928 118486 0 0 0 0 9514 
47 80 120 462 462 2051127.144227856 118430 0 0 0 0 9570 
49 81 154 489 489 2051674.701884601 118426 0 0 0 0 9574 
51 77 180 509 509 2051876.8075453427 118205 0 0 0 0 9795 
53 59 212 514 514 2051868.6403075254 118859 0 0 0 0 9141 
55 62 204 520 520 2052030.423531313 118639 0 0 0 0 9361 
57 79 206 521 521 2052207.9450470745 118334 0 0 0 0 9666 
59 52 222 515 515 2052095.7704420984 118600 0 0 0 0 9400 
61 70 206 521 521 2052451.7207181188 118305 0 0 0 0 9695 
