# "Frame" "ClusterAnalysis.cluster_count" "ClusterAnalysis.largest_size" "WignerSeitz.interstitial_count" "WignerSeitz.vacancy_count" "DislocationAnalysis.cell_volume" "DislocationAnalysis.counts.BCC" "DislocationAnalysis.counts.CubicDiamond" "DislocationAnalysis.counts.FCC" "DislocationAnalysis.counts.HCP" "DislocationAnalysis.counts.HexagonalDiamond" "DislocationAnalysis.counts.OTHER"
1 0 0 0 0 2331576.433726343 128000 0 0 0 0 0 
3 12 76 140 140 2334475.3225172157 125072 0 0 0 0 2928 
5 17 134 184 184 2334813.180145913 124341 0 0 0 0 3659 
7 12 216 181 181 2334729.350238352 124855 0 0 0 0 3145 
9 21 248 236 236 2335052.042355252 124108 0 0 0 0 3892 
11 16 216 193 193 2334924.6774921794 124376 0 0 0 0 3624 
13 15 306 251 251 2335956.155130451 123751 0 0 0 0 4249 
15 18 314 257 257 2336064.9100611685 123822 0 0 0 0 4178 
17 20 174 215 215 2335301.244928034 123979 0 0 0 0 4021 
19 16 230 203 203 2335324.56547806 124388 0 0 0 0 3612 
21 19 274 221 221 2335493.412691565 124013 0 0 0 0 3987 
23 24 176 218 218 2335543.452191374 123841 0 0 0 0 4159 
25 15 250 228 228 2335697.3586154417 123999 0 0 0 0 4001 
27 24 124 160 160 2334877.998745044 124663 0 0 0 0 3337 
29 14 184 187 187 2334852.9825289883 124470 0 0 0 0 3530 
31 13 180 236 236 2335650.2390861693 124235 0 0 0 0 3765 
33 14 202 251 251 2335800.8224045835 123959 0 0 0 0 4041 
35 15 178 224 224 2335627.025255672 124002 0 0 0 0 3998 
37 18 154 185 185 2334891.9992771866 124640 0 0 0 0 3360 
39 18 358 237 237 2335686.0201339885 124109 0 0 0 0 3891 
41 15 432 251 251 2335798.3531764173 124069 0 0 0 0 3931 
43 14 406 244 244 2335185.7056524144 124180 0 0 0 0 3820 
45 13 348 186 186 2334284.3115296154 125308 0 0 0 0 2692 
47 17 478 259 259 2335711.5182637237 123997 0 0 0 0 4003 
49 11 360 197 197 2335046.8484301227 124863 0 0 0 0 3137 
51 20 338 226 226 2335438.3567574373 124047 0 0 0 0 3953 
53 14 230 250 250 2335511.9167439803 124250 0 0 0 0 3750 
55 7 452 247 247 2335549.881506307 124257 0 0 0 0 3743 
57 13 518 286 286 2336075.798630281 124010 0 0 0 0 3990 
59 8 522 274 274 2335106.5214236337 124930 0 0 0 0 3070 
61 20 392 256 256 2336065.5883020316 123790 0 0 0 0 4210 
