# "Frame" "ClusterAnalysis.cluster_count" "ClusterAnalysis.largest_size" "WignerSeitz.interstitial_count" "WignerSeitz.vacancy_count" "DislocationAnalysis.cell_volume" "DislocationAnalysis.counts.BCC" "DislocationAnalysis.counts.CubicDiamond" "DislocationAnalysis.counts.FCC" "DislocationAnalysis.counts.HCP" "DislocationAnalysis.counts.HexagonalDiamond" "DislocationAnalysis.counts.OTHER"
1 0 0 0 0 1612085.3514223984 128000 0 0 0 0 0 
3 51 10 220 220 1612085.3514223984 120046 0 0 0 0 7954 
5 72 12 298 298 1612085.3514223984 117836 0 0 0 0 10164 
7 79 14 365 365 1612085.3514223984 115890 0 0 0 0 12110 
9 83 10 397 397 1612085.3514223984 115204 0 0 0 0 12796 
11 70 18 384 384 1612085.3514223984 115665 0 0 0 0 12335 
13 77 20 385 385 1612085.3514223984 116078 0 0 0 0 11922 
15 78 16 376 376 1612085.3514223984 115805 0 0 0 0 12195 
17 59 28 359 359 1612085.3514223984 117095 0 0 0 0 10905 
19 71 36 376 376 1612085.3514223984 116466 0 0 0 0 11534 
21 76 36 388 388 1612085.3514223984 115985 0 0 0 0 12015 
23 76 28 369 369 1612085.3514223984 116357 0 0 0 0 11643 
25 82 28 411 411 1612085.3514223984 115717 0 0 0 0 12283 
27 69 74 455 455 1612085.3514223984 115286 0 0 0 0 12714 
29 82 74 453 453 1612085.3514223984 115492 0 0 0 0 12508 
31 68 78 451 451 1612085.3514223984 115371 0 0 0 0 12629 
33 67 96 453 453 1612085.3514223984 116299 0 0 0 0 11701 
35 54 86 461 461 1612085.3514223984 116065 0 0 0 0 11935 
37 60 74 472 472 1612085.3514223984 115334 0 0 0 0 12666 
39 58 72 423 423 1612085.3514223984 116915 0 0 0 0 11085 
41 65 72 426 426 1612085.3514223984 116185 0 0 0 0 11815 
43 68 68 429 429 1612085.3514223984 115461 0 0 0 0 12539 
45 75 40 446 446 1612085.3514223984 115646 0 0 0 0 12354 
47 185 838 2355 2355 1612085.3514223984 116065 0 0 0 0 11935 
49 66 80 434 434 1612085.3514223984 116355 0 0 0 0 11645 
51 58 60 464 464 1612085.3514223984 115463 0 0 0 0 12537 
53 58 60 452 452 1612085.3514223984 115713 0 0 0 0 12287 
55 63 64 477 477 1612085.3514223984 115561 0 0 0 0 12439 
57 59 62 432 432 1612085.3514223984 116585 0 0 0 0 11415 
59 55 70 459 459 1612085.3514223984 116132 0 0 0 0 11868 
61 58 70 471 471 1612085.3514223984 115764 0 0 0 0 12236 
