# "Frame" "ClusterAnalysis.cluster_count" "ClusterAnalysis.largest_size" "WignerSeitz.interstitial_count" "WignerSeitz.vacancy_count" "DislocationAnalysis.cell_volume" "DislocationAnalysis.counts.BCC" "DislocationAnalysis.counts.CubicDiamond" "DislocationAnalysis.counts.FCC" "DislocationAnalysis.counts.HCP" "DislocationAnalysis.counts.HexagonalDiamond" "DislocationAnalysis.counts.OTHER"
1 0 0 0 0 1732402.6687124686 128000 0 0 0 0 0 
3 68 12 146 146 1732402.6687124686 123720 0 0 0 0 4280 
5 63 42 222 222 1732402.6687124686 122105 0 0 0 0 5895 
7 55 76 255 255 1732402.6687124686 122221 0 0 0 0 5779 
9 50 130 238 238 1732402.6687124686 122656 0 0 0 0 5344 
11 46 170 253 253 1732402.6687124686 122369 0 0 0 0 5631 
13 48 176 290 290 1732402.6687124686 121472 0 0 0 0 6528 
15 51 198 305 305 1732402.6687124686 121429 0 0 0 0 6571 
17 48 200 312 312 1732402.6687124686 121432 0 0 0 0 6568 
19 45 238 345 345 1732402.6687124686 121142 0 0 0 0 6858 
21 49 220 326 326 1732402.6687124686 121415 0 0 0 0 6585 
23 52 242 350 350 1732402.6687124686 121255 0 0 0 0 6745 
25 49 234 373 373 1732402.6687124686 120505 0 0 0 0 7495 
27 45 246 376 376 1732402.6687124686 120842 0 0 0 0 7158 
29 41 266 380 380 1732402.6687124686 120999 0 0 0 0 7001 
31 39 270 417 417 1732402.6687124686 120441 0 0 0 0 7559 
33 36 248 423 423 1732402.6687124686 120464 0 0 0 0 7536 
35 46 252 433 433 1732402.6687124686 120684 0 0 0 0 7316 
37 29 280 447 447 1732402.6687124686 120841 0 0 0 0 7159 
39 39 348 609 609 1732402.6687124686 119965 0 0 0 0 8035 
41 40 322 511 511 1732402.6687124686 119285 0 0 0 0 8715 
43 38 344 570 570 1732402.6687124686 119352 0 0 0 0 8648 
45 39 312 529 529 1732402.6687124686 119268 0 0 0 0 8732 
47 36 278 478 478 1732402.6687124686 120209 0 0 0 0 7791 
49 39 306 510 510 1732402.6687124686 119477 0 0 0 0 8523 
51 77 1834 1954 1954 1732402.6687124686 120199 0 0 0 0 7801 
53 39 332 517 517 1732402.6687124686 119932 0 0 0 0 8068 
55 41 312 487 487 1732402.6687124686 120120 0 0 0 0 7880 
57 35 314 489 489 1732402.6687124686 120151 0 0 0 0 7849 
59 32 316 472 472 1732402.6687124686 120645 0 0 0 0 7355 
61 44 284 431 431 1732402.6687124686 120526 0 0 0 0 7474 
