# "Frame" "ClusterAnalysis.cluster_count" "ClusterAnalysis.largest_size" "WignerSeitz.interstitial_count" "WignerSeitz.vacancy_count" "DislocationAnalysis.cell_volume" "DislocationAnalysis.counts.BCC" "DislocationAnalysis.counts.CubicDiamond" "DislocationAnalysis.counts.FCC" "DislocationAnalysis.counts.HCP" "DislocationAnalysis.counts.HexagonalDiamond" "DislocationAnalysis.counts.OTHER"
1 0 0 0 0 1636080.9132235702 128000 0 0 0 0 0 
3 67 8 206 206 1636080.9132235702 120202 0 0 0 0 7798 
5 83 10 270 270 1636080.9132235702 118538 0 0 0 0 9462 
7 72 14 308 308 1636080.9132235702 117550 0 0 0 0 10450 
9 73 34 325 325 1636080.9132235702 117795 0 0 0 0 10205 
11 83 28 327 327 1636080.9132235702 117731 0 0 0 0 10269 
13 69 28 309 309 1636080.9132235702 117924 0 0 0 0 10076 
15 71 36 332 332 1636080.9132235702 117430 0 0 0 0 10570 
17 69 48 349 349 1636080.9132235702 117860 0 0 0 0 10140 
19 61 48 364 364 1636080.9132235702 117530 0 0 0 0 10470 
21 72 60 367 367 1636080.9132235702 117062 0 0 0 0 10938 
23 73 66 383 383 1636080.9132235702 116749 0 0 0 0 11251 
25 80 78 380 380 1636080.9132235702 116737 0 0 0 0 11263 
27 67 44 378 378 1636080.9132235702 117208 0 0 0 0 10792 
29 67 56 366 366 1636080.9132235702 117596 0 0 0 0 10404 
31 66 56 384 384 1636080.9132235702 117174 0 0 0 0 10826 
33 59 42 358 358 1636080.9132235702 118258 0 0 0 0 9742 
35 69 62 377 377 1636080.9132235702 117662 0 0 0 0 10338 
37 51 72 366 366 1636080.9132235702 118529 0 0 0 0 9471 
39 55 80 377 377 1636080.9132235702 118296 0 0 0 0 9704 
41 59 66 403 403 1636080.9132235702 117446 0 0 0 0 10554 
43 55 76 390 390 1636080.9132235702 118036 0 0 0 0 9964 
45 52 76 397 397 1636080.9132235702 117350 0 0 0 0 10650 
47 58 70 416 416 1636080.9132235702 117161 0 0 0 0 10839 
49 61 82 422 422 1636080.9132235702 117269 0 0 0 0 10731 
51 67 58 412 412 1636080.9132235702 117038 0 0 0 0 10962 
53 65 96 411 411 1636080.9132235702 117778 0 0 0 0 10222 
55 62 98 435 435 1636080.9132235702 116704 0 0 0 0 11296 
57 55 82 417 417 1636080.9132235702 117758 0 0 0 0 10242 
59 51 92 421 421 1636080.9132235702 118082 0 0 0 0 9918 
61 49 92 431 431 1636080.9132235702 117866 0 0 0 0 10134 
