# "Frame" "ClusterAnalysis.cluster_count" "ClusterAnalysis.largest_size" "WignerSeitz.interstitial_count" "WignerSeitz.vacancy_count" "DislocationAnalysis.cell_volume" "DislocationAnalysis.counts.BCC" "DislocationAnalysis.counts.CubicDiamond" "DislocationAnalysis.counts.FCC" "DislocationAnalysis.counts.HCP" "DislocationAnalysis.counts.HexagonalDiamond" "DislocationAnalysis.counts.OTHER"
1 0 0 0 0 2054726.1457541331 128000 0 0 0 0 0 
3 82 8 193 193 2061458.0877855523 121866 0 0 0 0 6134 
5 102 8 258 258 2064941.7649851162 120052 0 0 0 0 7948 
7 100 12 300 300 2067880.1287946815 119254 0 0 0 0 8746 
9 81 14 314 314 2069996.6378431933 119157 0 0 0 0 8843 
11 86 14 303 303 2071307.11648895 119363 0 0 0 0 8637 
13 101 8 325 325 2073205.2415521059 118798 0 0 0 0 9202 
15 76 18 313 313 2074246.8356537253 119310 0 0 0 0 8690 
17 69 14 306 306 2075176.8632304017 119347 0 0 0 0 8653 
19 84 16 308 308 2076058.1890142637 119334 0 0 0 0 8666 
21 74 24 310 310 2076819.8265157999 119499 0 0 0 0 8501 
23 82 14 306 306 2077622.043260251 119510 0 0 0 0 8490 
25 72 16 311 311 2077969.9455289445 119537 0 0 0 0 8463 
27 67 20 313 313 2078931.7197164549 119540 0 0 0 0 8460 
29 60 28 299 299 2078810.7264069698 120028 0 0 0 0 7972 
31 74 22 338 338 2080321.8849880432 119071 0 0 0 0 8929 
33 67 22 329 329 2080309.6458256636 119596 0 0 0 0 8404 
35 77 38 326 326 2080666.7631816757 119647 0 0 0 0 8353 
37 73 56 338 338 2081332.9320229576 119509 0 0 0 0 8491 
39 57 80 332 332 2081728.4820657286 119848 0 0 0 0 8152 
41 67 50 321 321 2081600.4864167776 120203 0 0 0 0 7797 
43 60 72 332 332 2082042.107556075 119601 0 0 0 0 8399 
45 59 56 330 330 2082019.9992719388 119762 0 0 0 0 8238 
47 42 68 332 332 2082205.0486505523 120201 0 0 0 0 7799 
49 41 96 334 334 2082230.8401534015 120473 0 0 0 0 7527 
51 43 92 359 359 2083006.422561186 120312 0 0 0 0 7688 
53 42 112 374 374 2083040.3456743006 120102 0 0 0 0 7898 
55 63 68 366 366 2083305.0572442224 119802 0 0 0 0 8198 
57 57 80 388 388 2083726.0940756595 119198 0 0 0 0 8802 
59 52 66 424 424 2084395.113070059 118808 0 0 0 0 9192 
61 49 136 408 408 2084143.9985715493 119359 0 0 0 0 8641 
