# "Frame" "ClusterAnalysis.cluster_count" "ClusterAnalysis.largest_size" "WignerSeitz.interstitial_count" "WignerSeitz.vacancy_count" "DislocationAnalysis.cell_volume" "DislocationAnalysis.counts.BCC" "DislocationAnalysis.counts.CubicDiamond" "DislocationAnalysis.counts.FCC" "DislocationAnalysis.counts.HCP" "DislocationAnalysis.counts.HexagonalDiamond" "DislocationAnalysis.counts.OTHER"
1 0 0 0 0 2024343.0129459687 128000 0 0 0 0 0 
3 113 10 213 213 2030271.2887033136 121952 0 0 0 0 6048 
5 126 22 277 277 2032787.3973395762 120388 0 0 0 0 7612 
7 121 22 303 303 2034768.460766656 119834 0 0 0 0 8166 
9 107 36 329 329 2036660.707850356 119802 0 0 0 0 8198 
11 91 38 317 317 2037435.167398256 120213 0 0 0 0 7787 
13 105 56 363 363 2039031.2953715024 119671 0 0 0 0 8329 
15 106 74 374 374 2039765.2714101176 119339 0 0 0 0 8661 
17 114 96 378 378 2040326.7908937105 119157 0 0 0 0 8843 
19 89 122 375 375 2040509.965138073 119732 0 0 0 0 8268 
21 95 200 405 405 2041424.7620743688 119267 0 0 0 0 8733 
23 97 176 384 384 2041491.8085891493 119556 0 0 0 0 8444 
25 94 218 400 400 2041846.8396195977 119507 0 0 0 0 8493 
27 88 348 479 479 2043526.3967887121 118722 0 0 0 0 9278 
29 67 360 445 445 2043107.0752770253 119657 0 0 0 0 8343 
31 72 384 467 467 2043322.8236091922 119791 0 0 0 0 8209 
33 75 408 461 461 2043496.0012400555 119758 0 0 0 0 8242 
35 78 426 502 502 2044294.5092656151 118706 0 0 0 0 9294 
37 77 372 485 485 2044171.2470792206 119181 0 0 0 0 8819 
39 63 416 512 512 2044635.8586106976 119597 0 0 0 0 8403 
41 90 440 543 543 2045292.6889278477 118495 0 0 0 0 9505 
43 79 452 540 540 2045371.131583504 118611 0 0 0 0 9389 
45 56 520 540 540 2045488.4580726966 118752 0 0 0 0 9248 
47 70 710 717 717 2046008.682798044 118287 0 0 0 0 9713 
49 75 532 556 556 2046213.1632752258 118360 0 0 0 0 9640 
51 67 568 568 568 2046247.6542167247 118396 0 0 0 0 9604 
53 76 520 562 562 2045732.1662879626 118665 0 0 0 0 9335 
55 81 530 608 608 2046723.9127172055 117784 0 0 0 0 10216 
57 66 580 598 598 2046703.6701949667 117970 0 0 0 0 10030 
59 67 600 629 629 2047071.6400990016 117835 0 0 0 0 10165 
61 72 610 634 634 2046897.8515215823 117737 0 0 0 0 10263 
