# "Frame" "ClusterAnalysis.cluster_count" "ClusterAnalysis.largest_size" "WignerSeitz.interstitial_count" "WignerSeitz.vacancy_count" "DislocationAnalysis.cell_volume" "DislocationAnalysis.counts.BCC" "DislocationAnalysis.counts.CubicDiamond" "DislocationAnalysis.counts.FCC" "DislocationAnalysis.counts.HCP" "DislocationAnalysis.counts.HexagonalDiamond" "DislocationAnalysis.counts.OTHER"
1 0 0 0 0 2192063.410215837 128000 0 0 0 0 0 
3 93 10 166 166 2196275.606609648 122382 0 0 0 0 5618 
5 100 16 210 210 2198074.662607502 121300 0 0 0 0 6700 
7 96 26 234 234 2199305.096059112 120799 0 0 0 0 7201 
9 81 26 252 252 2199918.610587068 120740 0 0 0 0 7260 
11 79 28 246 246 2199988.8738729525 120597 0 0 0 0 7403 
13 84 38 275 275 2200866.8232888137 120153 0 0 0 0 7847 
15 71 50 252 252 2200698.0145999906 121205 0 0 0 0 6795 
17 74 46 247 247 2200832.333978231 121173 0 0 0 0 6827 
19 72 54 253 253 2200976.0984938205 120995 0 0 0 0 7005 
21 72 42 241 241 2200776.025240649 121154 0 0 0 0 6846 
23 67 46 237 237 2201031.799695514 121371 0 0 0 0 6629 
25 72 46 221 221 2200739.37841188 121546 0 0 0 0 6454 
27 87 30 278 278 2201809.538807582 120206 0 0 0 0 7794 
29 81 36 258 258 2201599.7056343164 120739 0 0 0 0 7261 
31 72 34 258 258 2201431.668231843 120874 0 0 0 0 7126 
33 76 52 244 244 2201238.1072004666 121159 0 0 0 0 6841 
35 72 70 267 267 2201766.45315829 120639 0 0 0 0 7361 
37 74 50 281 281 2201513.3011354436 120244 0 0 0 0 7756 
39 82 44 280 280 2201680.619609553 120673 0 0 0 0 7327 
41 78 58 283 283 2201636.286039831 120628 0 0 0 0 7372 
43 59 64 309 309 2201917.0694812643 120300 0 0 0 0 7700 
45 66 70 282 282 2201566.1159767117 120507 0 0 0 0 7493 
47 83 84 297 297 2201672.520906277 120061 0 0 0 0 7939 
49 85 114 294 294 2201537.4238260235 120261 0 0 0 0 7739 
51 67 96 305 305 2202035.0242484226 120449 0 0 0 0 7551 
53 61 94 286 286 2201261.372691035 121076 0 0 0 0 6924 
55 66 106 306 306 2201649.650342086 120513 0 0 0 0 7487 
57 79 108 305 305 2201745.185813029 120282 0 0 0 0 7718 
59 65 124 292 292 2201207.451149625 120858 0 0 0 0 7142 
61 62 108 310 310 2201476.0486670984 120756 0 0 0 0 7244 
