# "Frame" "ClusterAnalysis.cluster_count" "ClusterAnalysis.largest_size" "WignerSeitz.interstitial_count" "WignerSeitz.vacancy_count" "DislocationAnalysis.cell_volume" "DislocationAnalysis.counts.BCC" "DislocationAnalysis.counts.CubicDiamond" "DislocationAnalysis.counts.FCC" "DislocationAnalysis.counts.HCP" "DislocationAnalysis.counts.HexagonalDiamond" "DislocationAnalysis.counts.OTHER"
1 0 0 0 0 2334560.801380504 128000 0 0 0 0 0 
3 87 30 172 172 2337308.625685041 123581 0 0 0 0 4419 
5 78 82 218 218 2338132.16177236 122745 0 0 0 0 5255 
7 70 120 229 229 2337926.062980031 123068 0 0 0 0 4932 
9 60 222 244 244 2338011.566081016 123126 0 0 0 0 4874 
11 64 266 224 224 2337597.53980157 123492 0 0 0 0 4508 
13 55 266 261 261 2338231.4138471554 122911 0 0 0 0 5089 
15 62 294 274 274 2338503.4498643423 122612 0 0 0 0 5388 
17 48 324 290 290 2338439.8065919387 122656 0 0 0 0 5344 
19 46 294 294 294 2338554.7832446825 122783 0 0 0 0 5217 
21 65 228 299 299 2338610.6188724046 122617 0 0 0 0 5383 
23 62 216 314 314 2339037.4731588713 122057 0 0 0 0 5943 
25 58 206 281 281 2338455.733882909 122786 0 0 0 0 5214 
27 69 234 314 314 2339135.631347944 122170 0 0 0 0 5830 
29 62 242 325 325 2338856.1846650364 122149 0 0 0 0 5851 
31 53 492 334 334 2339064.528101954 122188 0 0 0 0 5812 
33 52 472 303 303 2338671.698585466 122605 0 0 0 0 5395 
35 61 502 324 324 2338946.3043868407 122355 0 0 0 0 5645 
37 52 554 330 330 2338609.7924490697 122764 0 0 0 0 5236 
39 50 566 345 345 2339039.4450555136 122335 0 0 0 0 5665 
41 57 394 279 279 2338410.9406314204 122775 0 0 0 0 5225 
43 74 366 292 292 2338685.650172087 122437 0 0 0 0 5563 
45 55 350 268 268 2338336.907134842 122985 0 0 0 0 5015 
47 65 366 293 293 2338508.432093773 122556 0 0 0 0 5444 
49 58 384 286 286 2338320.570832928 122750 0 0 0 0 5250 
51 61 202 293 293 2338590.4724572543 122427 0 0 0 0 5573 
53 108 1046 706 706 2338522.6854719706 122678 0 0 0 0 5322 
55 51 372 279 279 2338584.6680428693 122951 0 0 0 0 5049 
57 53 400 289 289 2338447.5267398534 122686 0 0 0 0 5314 
59 57 408 294 294 2338539.580874325 122676 0 0 0 0 5324 
61 51 430 306 306 2338627.824185459 122789 0 0 0 0 5211 
