# "Frame" "ClusterAnalysis.cluster_count" "ClusterAnalysis.largest_size" "WignerSeitz.interstitial_count" "WignerSeitz.vacancy_count" "DislocationAnalysis.cell_volume" "DislocationAnalysis.counts.BCC" "DislocationAnalysis.counts.CubicDiamond" "DislocationAnalysis.counts.FCC" "DislocationAnalysis.counts.HCP" "DislocationAnalysis.counts.HexagonalDiamond" "DislocationAnalysis.counts.OTHER"
1 0 0 0 0 2258796.1866577296 128000 0 0 0 0 0 
3 89 12 155 155 2262382.0433061454 122835 0 0 0 0 5165 
5 82 24 205 205 2263290.665754938 121967 0 0 0 0 6033 
7 101 12 213 213 2263818.1524098716 121363 0 0 0 0 6637 
9 86 16 215 215 2263761.082768303 121437 0 0 0 0 6563 
11 81 32 268 268 2264567.264527676 120540 0 0 0 0 7460 
13 78 60 234 234 2264059.8326239865 121628 0 0 0 0 6372 
15 82 44 235 235 2264048.674100842 121195 0 0 0 0 6805 
17 69 54 242 242 2263944.1172862398 121168 0 0 0 0 6832 
19 92 54 249 249 2264130.898332862 120995 0 0 0 0 7005 
21 90 34 249 249 2263711.49724446 120898 0 0 0 0 7102 
23 86 38 253 253 2263835.47911668 120733 0 0 0 0 7267 
25 87 36 305 305 2264934.847676844 119947 0 0 0 0 8053 
27 68 42 273 273 2263927.27772069 120818 0 0 0 0 7182 
29 73 50 283 283 2264465.129431027 120599 0 0 0 0 7401 
31 77 56 268 268 2263902.2359492923 120818 0 0 0 0 7182 
33 74 68 257 257 2263456.51379438 121365 0 0 0 0 6635 
35 64 68 247 247 2263360.971850199 121539 0 0 0 0 6461 
37 73 68 285 285 2263860.717126933 120643 0 0 0 0 7357 
39 75 52 266 266 2263356.475093607 121036 0 0 0 0 6964 
41 64 84 268 268 2263479.8950433084 121242 0 0 0 0 6758 
43 54 98 254 254 2262938.5630379673 121907 0 0 0 0 6093 
45 70 172 275 275 2263425.229339909 121524 0 0 0 0 6476 
47 74 136 261 261 2263230.9821157083 121594 0 0 0 0 6406 
49 63 154 266 266 2263574.1967144613 121615 0 0 0 0 6385 
51 74 134 289 289 2263471.4992296593 121120 0 0 0 0 6880 
53 80 122 286 286 2263586.9883491006 120989 0 0 0 0 7011 
55 71 130 276 276 2263560.0431665303 121132 0 0 0 0 6868 
57 82 102 282 282 2263865.0125284307 120586 0 0 0 0 7414 
59 68 104 286 286 2263420.3471502205 121234 0 0 0 0 6766 
61 72 130 270 270 2263228.435755923 121294 0 0 0 0 6706 
