# "Frame" "ClusterAnalysis.cluster_count" "ClusterAnalysis.largest_size" "WignerSeitz.interstitial_count" "WignerSeitz.vacancy_count" "DislocationAnalysis.cell_volume" "DislocationAnalysis.counts.BCC" "DislocationAnalysis.counts.CubicDiamond" "DislocationAnalysis.counts.FCC" "DislocationAnalysis.counts.HCP" "DislocationAnalysis.counts.HexagonalDiamond" "DislocationAnalysis.counts.OTHER"
1 0 0 0 0 1802008.3580394406 128000 0 0 0 0 0 
3 58 12 105 105 1802008.3580394406 124974 0 0 0 0 3026 
5 57 36 158 158 1802008.3580394406 124005 0 0 0 0 3995 
7 55 102 197 197 1802008.3580394406 123443 0 0 0 0 4557 
9 47 166 208 208 1802008.3580394406 123562 0 0 0 0 4438 
11 41 232 248 248 1802008.3580394406 122997 0 0 0 0 5003 
13 41 274 295 295 1802008.3580394406 122671 0 0 0 0 5329 
15 41 256 301 301 1802008.3580394406 122446 0 0 0 0 5554 
17 48 264 274 274 1802008.3580394406 122837 0 0 0 0 5163 
19 39 254 265 265 1802008.3580394406 123196 0 0 0 0 4804 
21 37 248 274 274 1802008.3580394406 123155 0 0 0 0 4845 
23 48 302 323 323 1802008.3580394406 122075 0 0 0 0 5925 
25 54 246 321 321 1802008.3580394406 122010 0 0 0 0 5990 
27 35 278 303 303 1802008.3580394406 122613 0 0 0 0 5387 
29 52 256 290 290 1802008.3580394406 122590 0 0 0 0 5410 
31 45 286 306 306 1802008.3580394406 122396 0 0 0 0 5604 
33 40 292 325 325 1802008.3580394406 122326 0 0 0 0 5674 
35 36 346 334 334 1802008.3580394406 122241 0 0 0 0 5759 
37 35 346 342 342 1802008.3580394406 122296 0 0 0 0 5704 
39 32 354 364 364 1802008.3580394406 122325 0 0 0 0 5675 
41 38 374 389 389 1802008.3580394406 121890 0 0 0 0 6110 
43 35 358 358 358 1802008.3580394406 122046 0 0 0 0 5954 
45 34 356 365 365 1802008.3580394406 121774 0 0 0 0 6226 
47 55 13718 6946 6946 1802008.3580394406 122129 0 0 0 0 5871 
49 29 376 364 364 1802008.3580394406 122114 0 0 0 0 5886 
51 34 358 363 363 1802008.3580394406 121955 0 0 0 0 6045 
53 33 630 360 360 1802008.3580394406 122229 0 0 0 0 5771 
55 43 588 352 352 1802008.3580394406 122258 0 0 0 0 5742 
57 40 810 466 466 1802008.3580394406 122105 0 0 0 0 5895 
59 39 652 397 397 1802008.3580394406 121659 0 0 0 0 6341 
61 39 684 391 391 1802008.3580394406 121990 0 0 0 0 6010 
