# "Frame" "ClusterAnalysis.cluster_count" "ClusterAnalysis.largest_size" "WignerSeitz.interstitial_count" "WignerSeitz.vacancy_count" "DislocationAnalysis.cell_volume" "DislocationAnalysis.counts.BCC" "DislocationAnalysis.counts.CubicDiamond" "DislocationAnalysis.counts.FCC" "DislocationAnalysis.counts.HCP" "DislocationAnalysis.counts.HexagonalDiamond" "DislocationAnalysis.counts.OTHER"
1 0 0 0 0 2085999.1636614692 128000 0 0 0 0 0 
3 61 8 163 163 2091606.0734111685 122859 0 0 0 0 5141 
5 72 12 251 251 2096051.169515265 120507 0 0 0 0 7493 
7 74 12 300 300 2098929.490175637 119347 0 0 0 0 8653 
9 81 14 293 293 2100362.130024377 119514 0 0 0 0 8486 
11 83 14 290 290 2102128.786933697 119551 0 0 0 0 8449 
13 67 14 286 286 2103247.885594543 119738 0 0 0 0 8262 
15 79 14 261 261 2103979.631651151 120215 0 0 0 0 7785 
17 71 14 287 287 2105581.0330012115 119759 0 0 0 0 8241 
19 60 14 299 299 2106544.272182971 119760 0 0 0 0 8240 
21 57 22 314 314 2107704.9014386623 119700 0 0 0 0 8300 
23 60 22 304 304 2108208.762609374 119851 0 0 0 0 8149 
25 62 16 353 353 2109576.130444333 118859 0 0 0 0 9141 
27 56 36 352 352 2110099.2422345034 119382 0 0 0 0 8618 
29 69 30 344 344 2109900.298895573 119280 0 0 0 0 8720 
31 64 20 323 323 2109932.1089787083 119443 0 0 0 0 8557 
33 51 26 278 278 2109629.9932509004 120452 0 0 0 0 7548 
35 55 34 307 307 2109975.074304852 120093 0 0 0 0 7907 
37 59 58 310 310 2110482.1429809784 119806 0 0 0 0 8194 
39 194 7614 13302 13302 2110643.752406623 120335 0 0 0 0 7665 
41 58 72 347 347 2111352.911892424 119324 0 0 0 0 8676 
43 55 84 373 373 2112035.1450768663 118875 0 0 0 0 9125 
45 54 54 379 379 2112486.7008769605 119475 0 0 0 0 8525 
47 59 56 348 348 2112023.1525688744 119676 0 0 0 0 8324 
49 59 68 348 348 2111924.5835982324 120060 0 0 0 0 7940 
51 46 70 331 331 2111509.836490702 120142 0 0 0 0 7858 
53 45 60 323 323 2111923.1727801613 120265 0 0 0 0 7735 
55 52 72 342 342 2112329.858637603 119660 0 0 0 0 8340 
57 58 88 347 347 2112415.2154097576 119548 0 0 0 0 8452 
59 51 72 351 351 2112095.8091578446 119837 0 0 0 0 8163 
61 52 132 351 351 2112178.4249300295 120302 0 0 0 0 7698 
