# "Frame" "ClusterAnalysis.cluster_count" "ClusterAnalysis.largest_size" "WignerSeitz.interstitial_count" "WignerSeitz.vacancy_count" "DislocationAnalysis.cell_volume" "DislocationAnalysis.counts.BCC" "DislocationAnalysis.counts.CubicDiamond" "DislocationAnalysis.counts.FCC" "DislocationAnalysis.counts.HCP" "DislocationAnalysis.counts.HexagonalDiamond" "DislocationAnalysis.counts.OTHER"
1 0 0 0 0 2133203.999438221 128000 0 0 0 0 0 
3 65 16 175 175 2138749.6495191557 122512 0 0 0 0 5488 
5 65 14 221 221 2141154.454109546 121250 0 0 0 0 6750 
7 74 14 233 233 2143076.0458193324 120781 0 0 0 0 7219 
9 79 20 260 260 2144678.757213477 120302 0 0 0 0 7698 
11 79 18 249 249 2145416.488330509 120594 0 0 0 0 7406 
13 82 22 253 253 2146164.4036042965 120594 0 0 0 0 7406 
15 51 30 253 253 2146726.155439698 121051 0 0 0 0 6949 
17 75 34 282 282 2147909.972155779 120235 0 0 0 0 7765 
19 77 18 295 295 2148904.6393191502 119730 0 0 0 0 8270 
21 64 40 255 255 2148244.5931856004 120830 0 0 0 0 7170 
23 70 26 278 278 2149028.09834235 120335 0 0 0 0 7665 
25 54 30 287 287 2149531.251116382 120462 0 0 0 0 7538 
27 59 42 295 295 2150039.6520331698 120245 0 0 0 0 7755 
29 67 50 327 327 2150937.413418515 119172 0 0 0 0 8828 
31 62 30 282 282 2149929.25473657 120833 0 0 0 0 7167 
33 57 34 241 241 2149387.4356082217 121492 0 0 0 0 6508 
35 68 46 309 309 2150719.291012272 119955 0 0 0 0 8045 
37 65 74 296 296 2150543.606773183 120307 0 0 0 0 7693 
39 57 54 290 290 2150366.066598168 120884 0 0 0 0 7116 
41 59 102 310 310 2150952.5878941743 120318 0 0 0 0 7682 
43 64 96 308 308 2150812.611192172 120267 0 0 0 0 7733 
45 61 96 305 305 2151118.9345308924 120429 0 0 0 0 7571 
47 60 134 302 302 2150835.4123431547 120814 0 0 0 0 7186 
49 78 144 315 315 2150902.702488904 120346 0 0 0 0 7654 
51 54 110 304 304 2150590.112529137 120721 0 0 0 0 7279 
53 54 94 293 293 2150433.050417023 120787 0 0 0 0 7213 
55 73 150 338 338 2151320.9799877894 119787 0 0 0 0 8213 
57 62 144 357 357 2151727.1219495223 120008 0 0 0 0 7992 
59 61 174 387 387 2152055.635951909 119488 0 0 0 0 8512 
61 54 152 340 340 2151549.306816632 120325 0 0 0 0 7675 
