# "Frame" "ClusterAnalysis.cluster_count" "ClusterAnalysis.largest_size" "WignerSeitz.interstitial_count" "WignerSeitz.vacancy_count" "DislocationAnalysis.cell_volume" "DislocationAnalysis.counts.BCC" "DislocationAnalysis.counts.CubicDiamond" "DislocationAnalysis.counts.FCC" "DislocationAnalysis.counts.HCP" "DislocationAnalysis.counts.HexagonalDiamond" "DislocationAnalysis.counts.OTHER"
1 0 0 0 0 1596757.7655702613 128000 0 0 0 0 0 
3 64 10 256 256 1596757.7655702613 118967 0 0 0 0 9033 
5 88 12 356 356 1596757.7655702613 116071 0 0 0 0 11929 
7 93 8 388 388 1596757.7655702613 115436 0 0 0 0 12564 
9 76 12 382 382 1596757.7655702613 115805 0 0 0 0 12195 
11 84 22 402 402 1596757.7655702613 115015 0 0 0 0 12985 
13 95 16 407 407 1596757.7655702613 114988 0 0 0 0 13012 
15 76 30 433 433 1596757.7655702613 114329 0 0 0 0 13671 
17 76 24 413 413 1596757.7655702613 115248 0 0 0 0 12752 
19 82 30 455 455 1596757.7655702613 114521 0 0 0 0 13479 
21 69 18 414 414 1596757.7655702613 115637 0 0 0 0 12363 
23 66 34 426 426 1596757.7655702613 115339 0 0 0 0 12661 
25 75 40 471 471 1596757.7655702613 114400 0 0 0 0 13600 
27 72 46 493 493 1596757.7655702613 114439 0 0 0 0 13561 
29 73 40 459 459 1596757.7655702613 114963 0 0 0 0 13037 
31 78 48 462 462 1596757.7655702613 114628 0 0 0 0 13372 
33 62 34 470 470 1596757.7655702613 114527 0 0 0 0 13473 
35 74 38 473 473 1596757.7655702613 114402 0 0 0 0 13598 
37 70 34 471 471 1596757.7655702613 114820 0 0 0 0 13180 
39 64 78 445 445 1596757.7655702613 115230 0 0 0 0 12770 
41 68 80 458 458 1596757.7655702613 115120 0 0 0 0 12880 
43 72 88 489 489 1596757.7655702613 114999 0 0 0 0 13001 
45 74 58 473 473 1596757.7655702613 115569 0 0 0 0 12431 
47 70 76 508 508 1596757.7655702613 114618 0 0 0 0 13382 
49 77 62 532 532 1596757.7655702613 114476 0 0 0 0 13524 
51 74 72 501 501 1596757.7655702613 114752 0 0 0 0 13248 
53 73 20 524 524 1596757.7655702613 114116 0 0 0 0 13884 
55 58 134 514 514 1596757.7655702613 114789 0 0 0 0 13211 
57 60 86 491 491 1596757.7655702613 115367 0 0 0 0 12633 
59 68 96 490 490 1596757.7655702613 115352 0 0 0 0 12648 
61 64 90 483 483 1596757.7655702613 115412 0 0 0 0 12588 
