# "Frame" "ClusterAnalysis.cluster_count" "ClusterAnalysis.largest_size" "WignerSeitz.interstitial_count" "WignerSeitz.vacancy_count" "DislocationAnalysis.cell_volume" "DislocationAnalysis.counts.BCC" "DislocationAnalysis.counts.CubicDiamond" "DislocationAnalysis.counts.FCC" "DislocationAnalysis.counts.HCP" "DislocationAnalysis.counts.HexagonalDiamond" "DislocationAnalysis.counts.OTHER"
1 0 0 0 0 1585490.3464896234 128000 0 0 0 0 0 
3 115 8 324 324 1585490.3464896234 117285 0 0 0 0 10715 
5 124 24 424 424 1585490.3464896234 114831 0 0 0 0 13169 
7 126 26 521 521 1585490.3464896234 113241 0 0 0 0 14759 
9 123 44 555 555 1585490.3464896234 113061 0 0 0 0 14939 
11 108 24 574 574 1585490.3464896234 112926 0 0 0 0 15074 
13 97 40 587 587 1585490.3464896234 113100 0 0 0 0 14900 
15 110 36 595 595 1585490.3464896234 112766 0 0 0 0 15234 
17 106 56 605 605 1585490.3464896234 112896 0 0 0 0 15104 
19 90 60 621 621 1585490.3464896234 112920 0 0 0 0 15080 
21 94 56 646 646 1585490.3464896234 112387 0 0 0 0 15613 
23 90 60 638 638 1585490.3464896234 113000 0 0 0 0 15000 
25 82 68 643 643 1585490.3464896234 113148 0 0 0 0 14852 
27 85 144 644 644 1585490.3464896234 113034 0 0 0 0 14966 
29 89 100 656 656 1585490.3464896234 112993 0 0 0 0 15007 
31 81 110 665 665 1585490.3464896234 113080 0 0 0 0 14920 
33 74 174 656 656 1585490.3464896234 113646 0 0 0 0 14354 
35 77 196 672 672 1585490.3464896234 113258 0 0 0 0 14742 
37 69 214 708 708 1585490.3464896234 113323 0 0 0 0 14677 
39 63 224 669 669 1585490.3464896234 114392 0 0 0 0 13608 
41 66 312 713 713 1585490.3464896234 113569 0 0 0 0 14431 
43 64 332 742 742 1585490.3464896234 113418 0 0 0 0 14582 
45 79 510 1144 1144 1585490.3464896234 112424 0 0 0 0 15576 
47 71 352 808 808 1585490.3464896234 112121 0 0 0 0 15879 
49 68 402 810 810 1585490.3464896234 112635 0 0 0 0 15365 
51 67 368 797 797 1585490.3464896234 112663 0 0 0 0 15337 
53 69 380 798 798 1585490.3464896234 112866 0 0 0 0 15134 
55 71 390 791 791 1585490.3464896234 113076 0 0 0 0 14924 
57 65 362 772 772 1585490.3464896234 113169 0 0 0 0 14831 
59 65 414 786 786 1585490.3464896234 112961 0 0 0 0 15039 
61 68 412 776 776 1585490.3464896234 112778 0 0 0 0 15222 
