# "Frame" "ClusterAnalysis.cluster_count" "ClusterAnalysis.largest_size" "WignerSeitz.interstitial_count" "WignerSeitz.vacancy_count" "DislocationAnalysis.cell_volume" "DislocationAnalysis.counts.BCC" "DislocationAnalysis.counts.CubicDiamond" "DislocationAnalysis.counts.FCC" "DislocationAnalysis.counts.HCP" "DislocationAnalysis.counts.HexagonalDiamond" "DislocationAnalysis.counts.OTHER"
1 0 0 0 0 2039224.407389855 128000 0 0 0 0 0 
3 91 6 178 178 2044719.220164353 122390 0 0 0 0 5610 
5 118 14 269 269 2048343.9525563247 119934 0 0 0 0 8066 
7 147 12 322 322 2051220.504704063 118331 0 0 0 0 9669 
9 135 14 342 342 2052865.1085827877 118221 0 0 0 0 9779 
11 111 10 334 334 2054107.2635313165 118683 0 0 0 0 9317 
13 110 12 333 333 2055473.8392546861 118830 0 0 0 0 9170 
15 103 18 347 347 2056459.6627281005 118778 0 0 0 0 9222 
17 94 22 336 336 2057318.2938816631 119352 0 0 0 0 8648 
19 89 30 339 339 2058164.7730988082 119469 0 0 0 0 8531 
21 91 44 361 361 2059068.0315167236 119126 0 0 0 0 8874 
23 79 32 347 347 2059547.740011457 119498 0 0 0 0 8502 
25 82 30 347 347 2059977.1512012237 119356 0 0 0 0 8644 
27 88 46 365 365 2060790.782940464 119235 0 0 0 0 8765 
29 77 52 369 369 2061233.1493865426 119162 0 0 0 0 8838 
31 90 52 351 351 2061248.4217926925 119377 0 0 0 0 8623 
33 88 84 377 377 2061669.6470202557 119185 0 0 0 0 8815 
35 76 84 385 385 2062196.2490994951 119130 0 0 0 0 8870 
37 72 92 390 390 2062684.7481761903 118913 0 0 0 0 9087 
39 61 114 392 392 2062466.1188057812 119547 0 0 0 0 8453 
41 53 140 384 384 2062553.3051432066 119784 0 0 0 0 8216 
43 60 148 407 407 2062882.4836252893 119522 0 0 0 0 8478 
45 71 128 456 456 2064231.1139327828 118383 0 0 0 0 9617 
47 64 178 461 461 2063953.7631367845 118705 0 0 0 0 9295 
49 55 204 472 472 2064260.7443675566 118833 0 0 0 0 9167 
51 54 186 456 456 2063913.206962134 119361 0 0 0 0 8639 
53 53 204 434 434 2063641.4019773698 119788 0 0 0 0 8212 
55 61 208 480 480 2064572.3921765643 118880 0 0 0 0 9120 
57 60 200 473 473 2064852.5586228245 118662 0 0 0 0 9338 
59 62 272 537 537 2064424.4237328467 118814 0 0 0 0 9186 
61 67 198 449 449 2064480.0656514987 118858 0 0 0 0 9142 
