# "Frame" "ClusterAnalysis.cluster_count" "ClusterAnalysis.largest_size" "WignerSeitz.interstitial_count" "WignerSeitz.vacancy_count" "DislocationAnalysis.cell_volume" "DislocationAnalysis.counts.BCC" "DislocationAnalysis.counts.CubicDiamond" "DislocationAnalysis.counts.FCC" "DislocationAnalysis.counts.HCP" "DislocationAnalysis.counts.HexagonalDiamond" "DislocationAnalysis.counts.OTHER"
1 0 0 0 0 2041302.3663153923 128000 0 0 0 0 0 
3 47 26 175 175 2044589.2880404925 123658 0 0 0 0 4342 
5 43 67 224 224 2045979.0969662422 122970 0 0 0 0 5030 
7 50 214 338 338 2047294.8323901354 122109 0 0 0 0 5891 
9 37 151 341 341 2048426.1877906665 121618 0 0 0 0 6382 
11 36 366 379 379 2049131.5169742804 121492 0 0 0 0 6508 
13 33 414 423 423 2049844.8512410317 120744 0 0 0 0 7256 
15 36 508 417 417 2049648.3703454551 120903 0 0 0 0 7097 
17 35 538 454 454 2050190.1599777234 120570 0 0 0 0 7430 
19 32 658 493 493 2050669.0336937 120409 0 0 0 0 7591 
21 26 698 513 513 2050936.3216145206 120090 0 0 0 0 7910 
23 28 750 538 538 2051282.6029016508 119920 0 0 0 0 8080 
25 21 772 554 554 2051867.23967165 119747 0 0 0 0 8253 
27 16 1118 596 596 2052414.4632383415 119411 0 0 0 0 8589 
29 15 1214 633 633 2052937.0965205021 119178 0 0 0 0 8822 
31 25 1206 652 652 2053462.8655544012 118522 0 0 0 0 9478 
33 23 1610 843 843 2053392.5394329103 118970 0 0 0 0 9030 
35 21 1232 657 657 2053332.203340742 118984 0 0 0 0 9016 
37 20 1254 664 664 2053457.385801585 118857 0 0 0 0 9143 
39 22 1318 712 712 2053925.1716637223 118627 0 0 0 0 9373 
41 21 1390 747 747 2054990.8576392783 117934 0 0 0 0 10066 
43 18 1426 758 758 2054933.3174350136 118035 0 0 0 0 9965 
45 19 1418 751 751 2054730.1832551844 118436 0 0 0 0 9564 
47 17 1552 816 816 2055596.4359188578 117856 0 0 0 0 10144 
49 19 1696 882 882 2055288.3875010377 118052 0 0 0 0 9948 
51 18 1566 818 818 2055366.4809452582 117830 0 0 0 0 10170 
53 12 1820 924 924 2054836.1792661299 118703 0 0 0 0 9297 
55 13 1552 797 797 2055359.2137062554 118347 0 0 0 0 9653 
57 13 1550 797 797 2055287.8704136102 118046 0 0 0 0 9954 
59 14 1734 889 889 2056187.51192937 117358 0 0 0 0 10642 
61 25 1870 969 969 2057229.220114692 116964 0 0 0 0 11036 
