# "Frame" "ClusterAnalysis.cluster_count" "ClusterAnalysis.largest_size" "WignerSeitz.interstitial_count" "WignerSeitz.vacancy_count" "DislocationAnalysis.cell_volume" "DislocationAnalysis.counts.BCC" "DislocationAnalysis.counts.CubicDiamond" "DislocationAnalysis.counts.FCC" "DislocationAnalysis.counts.HCP" "DislocationAnalysis.counts.HexagonalDiamond" "DislocationAnalysis.counts.OTHER"
1 0 0 0 0 2035868.4960097203 128000 0 0 0 0 0 
3 86 16 197 197 2039482.0790404084 122671 0 0 0 0 5329 
5 89 34 256 256 2040914.0469700787 121560 0 0 0 0 6440 
7 79 80 290 290 2041642.6563844513 121255 0 0 0 0 6745 
9 68 264 324 324 2042179.3045656404 121145 0 0 0 0 6855 
11 71 364 412 412 2042456.545087803 120592 0 0 0 0 7408 
13 73 266 385 385 2043332.999390749 120145 0 0 0 0 7855 
15 69 320 391 391 2043202.7044184147 120075 0 0 0 0 7925 
17 71 370 428 428 2043870.2184690416 119906 0 0 0 0 8094 
19 67 960 771 771 2044892.007849906 119220 0 0 0 0 8780 
21 72 368 483 483 2044780.5933124798 119065 0 0 0 0 8935 
23 48 431 456 456 2044341.4969522157 119997 0 0 0 0 8003 
25 58 560 499 499 2044852.4225239772 119488 0 0 0 0 8512 
27 53 626 535 535 2045541.9787980912 118961 0 0 0 0 9039 
29 58 654 554 554 2045807.6229573088 118750 0 0 0 0 9250 
31 54 702 563 563 2045867.2065839658 118877 0 0 0 0 9123 
33 61 624 599 599 2046577.59003755 118570 0 0 0 0 9430 
35 41 822 584 584 2046309.9189545317 118839 0 0 0 0 9161 
37 53 836 611 611 2046948.0318251203 118240 0 0 0 0 9760 
39 38 668 569 569 2046003.7677859867 119351 0 0 0 0 8649 
41 53 604 566 566 2046110.877512534 119152 0 0 0 0 8848 
43 49 714 563 563 2046046.9232932506 119117 0 0 0 0 8883 
45 53 782 587 587 2046270.0572778678 118969 0 0 0 0 9031 
47 57 828 639 639 2047062.3688360027 118429 0 0 0 0 9571 
49 50 836 643 643 2047312.2112417838 118496 0 0 0 0 9504 
51 55 826 638 638 2046947.1911017008 118370 0 0 0 0 9630 
53 51 868 627 627 2046933.1132769298 118271 0 0 0 0 9729 
55 62 938 664 664 2047709.2064908422 117770 0 0 0 0 10230 
57 54 958 719 719 2048357.6178889237 117426 0 0 0 0 10574 
59 52 1016 727 727 2048332.431323917 117432 0 0 0 0 10568 
61 49 858 700 700 2047940.8549857282 117875 0 0 0 0 10125 
