# "Frame" "ClusterAnalysis.cluster_count" "ClusterAnalysis.largest_size" "WignerSeitz.interstitial_count" "WignerSeitz.vacancy_count" "DislocationAnalysis.cell_volume" "DislocationAnalysis.counts.BCC" "DislocationAnalysis.counts.CubicDiamond" "DislocationAnalysis.counts.FCC" "DislocationAnalysis.counts.HCP" "DislocationAnalysis.counts.HexagonalDiamond" "DislocationAnalysis.counts.OTHER"
1 0 0 0 0 1673293.8982724946 128000 0 0 0 0 0 
3 68 14 175 175 1673293.8982724946 121683 0 0 0 0 6317 
5 80 16 239 239 1673293.8982724946 119984 0 0 0 0 8016 
7 69 26 260 260 1673293.8982724946 119768 0 0 0 0 8232 
9 71 36 285 285 1673293.8982724946 119370 0 0 0 0 8630 
11 67 34 286 286 1673293.8982724946 119619 0 0 0 0 8381 
13 71 32 309 309 1673293.8982724946 119390 0 0 0 0 8610 
15 67 38 332 332 1673293.8982724946 119008 0 0 0 0 8992 
17 61 42 356 356 1673293.8982724946 118770 0 0 0 0 9230 
19 55 36 363 363 1673293.8982724946 118508 0 0 0 0 9492 
21 59 46 365 365 1673293.8982724946 118560 0 0 0 0 9440 
23 64 54 364 364 1673293.8982724946 118537 0 0 0 0 9463 
25 49 80 359 359 1673293.8982724946 119103 0 0 0 0 8897 
27 54 84 362 362 1673293.8982724946 119320 0 0 0 0 8680 
29 49 56 366 366 1673293.8982724946 118657 0 0 0 0 9343 
31 53 80 360 360 1673293.8982724946 118964 0 0 0 0 9036 
33 53 76 359 359 1673293.8982724946 119171 0 0 0 0 8829 
35 46 82 375 375 1673293.8982724946 119324 0 0 0 0 8676 
37 46 72 363 363 1673293.8982724946 119112 0 0 0 0 8888 
39 44 114 357 357 1673293.8982724946 119305 0 0 0 0 8695 
41 58 96 366 366 1673293.8982724946 119116 0 0 0 0 8884 
43 50 112 378 378 1673293.8982724946 118954 0 0 0 0 9046 
45 59 128 395 395 1673293.8982724946 118503 0 0 0 0 9497 
47 56 108 383 383 1673293.8982724946 118954 0 0 0 0 9046 
49 57 96 410 410 1673293.8982724946 118417 0 0 0 0 9583 
51 56 126 377 377 1673293.8982724946 119223 0 0 0 0 8777 
53 52 124 414 414 1673293.8982724946 118867 0 0 0 0 9133 
55 53 116 438 438 1673293.8982724946 118512 0 0 0 0 9488 
57 58 110 431 431 1673293.8982724946 118431 0 0 0 0 9569 
59 44 144 445 445 1673293.8982724946 118935 0 0 0 0 9065 
61 45 262 443 443 1673293.8982724946 118942 0 0 0 0 9058 
